TR,A,L,T,Force,Disp
1,120,300,3.5,19.28647804,101.1127319
1,120,300,3.5,18.94215775,101.8582001
1,120,300,3.5,18.34600449,102.6036682
1,120,300,3.5,17.77049255,103.3491364
1,120,300,3.5,17.32593155,104.0946045
1,120,300,3.5,16.92173576,104.8400726
1,120,300,3.5,16.76849365,105.5855484
1,120,300,3.5,16.66520882,106.3305969
1,120,300,3.5,16.86941719,107.0730972
1,120,300,3.5,17.05311585,107.8155899
1,120,300,3.5,17.1128273,108.5580826
1,120,300,3.5,17.14285278,109.3005829
1,120,300,3.5,16.99716187,110.0430756
1,120,300,3.5,16.85071945,110.7855682
1,120,300,3.5,16.69987297,111.5280685
1,120,300,3.5,16.58285332,112.2705612
1,120,300,3.5,16.66008186,113.0130615
1,120,300,3.5,16.74704552,113.7555542
1,120,300,3.5,16.88930512,114.4980469
1,120,300,3.5,17.00003433,115.2405472
1,120,300,3.5,16.93552399,115.9830399
1,120,300,3.5,16.85136032,116.7255325
1,120,300,3.5,16.65895653,117.4680328
1,120,300,3.5,16.46863747,118.2105255
1,120,300,3.5,16.28959274,118.9530182
1,120,300,3.5,16.15127754,119.6955185
1,120,300,3.5,16.22927094,120.4380112
1,120,300,3.5,16.31269264,121.180069
1,120,300,3.5,16.42452049,121.919838
1,120,300,3.5,16.5110817,122.6595993
1,120,300,3.5,16.46678352,123.3993683
1,120,300,3.5,16.4165535,124.1391296
1,120,300,3.5,16.33609772,124.8788986
1,120,300,3.5,16.23718453,125.61866
1,120,300,3.5,16.0455513,126.358429
1,120,300,3.5,15.87088871,127.0981903
1,120,300,3.5,15.77990151,127.8379593
1,120,300,3.5,15.70327473,128.5777283
1,120,300,3.5,15.69676971,129.3174896
1,120,300,3.5,15.69561672,130.057251
1,120,300,3.5,15.72033882,130.7970276
1,120,300,3.5,15.72784042,131.5367889
1,120,300,3.5,15.65334606,132.2765503
1,120,300,3.5,15.5627346,133.0163117
1,120,300,3.5,15.39665413,133.756073
1,120,300,3.5,15.25558567,134.4958496
1,120,300,3.5,15.23038292,135.235611
1,120,300,3.5,15.23726845,135.9749146
1,120,300,3.5,15.39059067,136.7120972
1,120,300,3.5,15.53076649,137.4492798
1,120,300,3.5,15.61167145,138.1864624
1,120,300,3.5,15.64753723,138.923645
1,120,300,3.5,15.48301506,139.6608276
1,120,300,3.5,15.35309792,140.3980103
1,120,300,3.5,15.37532139,141.1351929
1,120,300,3.5,15.38254833,141.8723755
1,120,300,3.5,15.32495499,142.6095581
1,120,300,3.5,15.26297569,143.3467407
1,120,300,3.5,15.18230438,144.0839233
1,120,300,3.5,15.06790543,144.821106
1,120,300,3.5,14.81199932,145.5582886
1,120,300,3.5,14.55603886,146.2954712
1,120,300,3.5,14.29985237,147.0326538
1,120,300,3.5,14.07519913,147.7698364
1,120,300,3.5,13.98017788,148.507019
1,120,300,3.5,13.92507649,149.2442017
1,120,300,3.5,14.03243446,149.9813843
1,120,300,3.5,14.15324593,150.7180786
1,120,300,3.5,14.32793331,151.4528656
1,120,300,3.5,14.47219086,152.1876526
1,120,300,3.5,14.49564934,152.9224396
1,120,300,3.5,14.49010181,153.6572266
1,120,300,3.5,14.37082958,154.3920136
1,120,300,3.5,14.25277042,155.1268005
1,120,300,3.5,14.1393528,155.8615875
1,120,300,3.5,14.0320282,156.5963745
1,120,300,3.5,13.94773769,157.3311615
1,120,300,3.5,13.85009575,158.0659485
1,120,300,3.5,13.70197392,158.8007202
1,120,300,3.5,13.56564617,159.5355225
1,120,300,3.5,13.47337914,160.2702942
1,120,300,3.5,13.37242317,161.0050812
1,120,300,3.5,13.2393961,161.7398682
1,120,300,3.5,13.10502243,162.4746552
1,120,300,3.5,12.96573353,163.2094421
1,120,300,3.5,12.84257793,163.9442291
1,120,300,3.5,12.77758884,164.6790161
1,120,300,3.5,12.71027851,165.4133301
1,120,300,3.5,12.63469887,166.1459656
1,120,300,3.5,12.54557419,166.8786011
1,120,300,3.5,12.40873718,167.6112518
1,120,300,3.5,12.30955219,168.3438873
1,120,300,3.5,12.34147358,169.0765228
1,120,300,3.5,12.34449577,169.8091583
1,120,300,3.5,12.24802971,170.5418091
